points,labels
[-23.93458035  -5.07084862   0.        ],wg
[-23.79067275  -4.88925464   0.        ],wg
[-23.64653131  -4.7082004    0.        ],wg
[-23.50215079  -4.52768371   0.        ],wg
[-23.35752591  -4.34770241   0.        ],wg
[-23.21265143  -4.16825434   0.        ],wg
[-23.06752209  -3.98933732   0.        ],wg
[-22.92213264  -3.81094919   0.        ],wg
[-22.77647782  -3.63308777   0.        ],wg
[-22.63055237  -3.45575091   0.        ],wg
[-22.48435105  -3.27893642   0.        ],wg
[-22.3378686   -3.10264215   0.        ],wg
[-22.19109976  -2.92686592   0.        ],wg
[-22.04403927  -2.75160556   0.        ],wg
[-21.89668189  -2.5768589    0.        ],wg
[-21.74902236  -2.40262378   0.        ],wg
[-21.60105541  -2.22889803   0.        ],wg
[-21.45277581  -2.05567948   0.        ],wg
[-21.30417829  -1.88296596   0.        ],wg
[-21.15525759  -1.7107553    0.        ],wg
[-21.00600847  -1.53904533   0.        ],wg
[-20.85642567  -1.36783388   0.        ],wg
[-20.70650393  -1.19711879   0.        ],wg
[-20.556238    -1.02689789   0.        ],wg
[-20.40562262  -0.857169     0.        ],wg
[-20.25465253  -0.68792996   0.        ],wg
[-20.1033225  -0.5191786   0.       ],wg
[-19.95162725  -0.35091275   0.        ],wg
[-19.79956153  -0.18313025   0.        ],wg
[-1.96471201e+01 -1.58289147e-02  0.00000000e+00],wg
[-19.49429767   0.15099341   0.        ],wg
[-19.34108903   0.3173389    0.        ],wg
[-19.1874889    0.48320973   0.        ],wg
[-19.03349202   0.64860805   0.        ],wg
[-18.87909315   0.81353605   0.        ],wg
[-18.72428703   0.97799588   0.        ],wg
[-18.5690684    1.14198972   0.        ],wg
[-18.41343201   1.30551974   0.        ],wg
[-18.25737261   1.46858811   0.        ],wg
[-18.10088493   1.63119698   0.        ],wg
[-17.94396373   1.79334854   0.        ],wg
[-17.78660375   1.95504496   0.        ],wg
[-17.62879973   2.11628839   0.        ],wg
[-17.47054642   2.27708101   0.        ],wg
[-17.31183856   2.43742499   0.        ],wg
[-17.15267091   2.59732249   0.        ],wg
[-16.9930382    2.75677569   0.        ],wg
[-16.83293518   2.91578675   0.        ],wg
[-16.67235659   3.07435785   0.        ],wg
[-16.51129718   3.23249115   0.        ],wg
[-16.3497517    3.39018882   0.        ],wg
[-16.18771489   3.54745302   0.        ],wg
[-16.02518149   3.70428594   0.        ],wg
[-15.86214626   3.86068973   0.        ],wg
[-15.69860392   4.01666656   0.        ],wg
[-15.53454924   4.17221861   0.        ],wg
[-15.36997696   4.32734805   0.        ],wg
[-15.20488181   4.48205703   0.        ],wg
[-15.03925855   4.63634773   0.        ],wg
[-14.87310192   4.79022233   0.        ],wg
[-14.70640666   4.94368298   0.        ],wg
[-14.53916753   5.09673185   0.        ],wg
[-14.37137926   5.24937113   0.        ],wg
[-14.2030366    5.40160296   0.        ],wg
[-14.0341343    5.55342953   0.        ],wg
[-13.8646671   5.704853    0.       ],wg
[-13.69462975   5.85587554   0.        ],wg
[-13.52401698   6.00649932   0.        ],wg
[-13.35282355   6.15672651   0.        ],wg
[-13.18104421   6.30655927   0.        ],wg
[-13.00867369   6.45599978   0.        ],wg
[-12.83570674   6.6050502    0.        ],wg
[-12.6621381   6.7537127   0.       ],wg
[-12.48796253   6.90198946   0.        ],wg
[-12.31317477   7.04988263   0.        ],wg
[-12.13776955   7.1973944    0.        ],wg
[-11.96174163   7.34452692   0.        ],wg
[-11.78508576   7.49128237   0.        ],wg
[-11.60779667   7.63766291   0.        ],wg
[-11.42986911   7.78367072   0.        ],wg
[-11.49007989   7.84535842   0.        ],wf
[-11.49007989   7.84535842   1.        ],wf
[-10.69648243   7.43756781   4.57089835],wf
[-10.50215015   9.89447993   7.34640667],wf
[-7.57220654  9.6801714   9.84975145],wf
[-4.16594577 10.49148175  9.        ],wf
[-4.16594577 10.49148175  8.        ],wf
[-4.16594577 10.49148175  8.        ],wg
[-4.01549705 10.54102115  8.        ],wg
[-3.86504833 10.59056054  8.        ],wg
[-3.71459961 10.64009994  8.        ],wg
[-3.56415089 10.68963934  8.        ],wg
[-3.41370217 10.73917874  8.        ],wg
[-3.26325344 10.78871814  8.        ],wg
[-3.11280472 10.83825754  8.        ],wg
[-2.962356   10.88779694  8.        ],wg
[-2.81190728 10.93733634  8.        ],wg
[-2.66145856 10.98687574  8.        ],wg
[-2.51100984 11.03641513  8.        ],wg
[-2.36056112 11.08595453  8.        ],wg
[-2.2101124  11.13549393  8.        ],wg
[-2.05966368 11.18503333  8.        ],wg
[-1.90921496 11.23457273  8.        ],wg
[-1.75876624 11.28411213  8.        ],wg
[-1.60831751 11.33365153  8.        ],wg
[-1.45786879 11.38319093  8.        ],wg
[-1.30742007 11.43273033  8.        ],wg
[-1.30742007 11.43273033  8.        ],wf
[-1.30742007 11.43273033  9.        ],wf
[ 1.75699469 11.73999719  9.60374662],wf
[ 5.52691545 10.59586078  9.39832577],wf
[ 5.52691545 10.59586078  8.39832577],wf
[ 5.52691545 10.59586078  8.39832577],wg
[ 5.85813586 10.61041011  8.48473109],wg
[ 6.17561889 10.597653    8.56755275],wg
[ 6.48015619 10.55929323  8.64699727],wg
[ 6.77253941 10.49703457  8.72327115],wg
[ 7.05356019 10.4125808   8.79658092],wg
[ 7.3240102  10.30763568  8.8671331 ],wg
[ 7.58468108 10.18390299  8.93513419],wg
[ 7.83636447 10.04308651  9.00079073],wg
[8.07985203 9.88689001 9.06430923],wg
[8.31593541 9.71701725 9.1258962 ],wg
[8.54540626 9.53517202 9.18575816],wg
[8.76905623 9.34305809 9.24410162],wg
[8.98767696 9.14237923 9.30113312],wg
[9.20206011 8.93483921 9.35705916],wg
[9.41299733 8.72214181 9.41208626],wg
[9.62128026 8.5059908  9.46642094],wg
[9.82770056 8.28808995 9.52026971],wg
